Variant name,locations.truck_hub.charger_efficiency,locations.truck_customer.charger_efficiency,locations.truck_hub.proportion_of_discharge_to_network,locations.truck_customer.proportion_of_discharge_to_network,locations.truck_customer.connectivity,mobility_module.day_start_hour,run.start.hour,legs.truck_to_hub.distance,legs.truck_to_hub.duration,legs.truck_to_customer.distance,legs.truck_to_customer.duration
BEALB_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEANT_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEBRU_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BECHA_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEFLA_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEGHE_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEHAI_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BELIE_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,43.55555556,1.037037037,43.55555556,1.037037037
NLCHE_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,42,1,42,1
NLEAS_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,42,1,42,1
NLEEM_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,42,1,42,1
NLNOO_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,42,1,42,1
NLNOR_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,42,1,42,1
NLROT_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,42,1,42,1
NLSOU_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,42,1,42,1
NLWES_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,42,1,42,1
NLZEE_truck_2030,0.9,0.9,0.9,0.9,0.25,5,5,42,1,42,1
BEALB_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEANT_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEBRU_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BECHA_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEFLA_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEGHE_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEHAI_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BELIE_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,43.55555556,1.037037037,43.55555556,1.037037037
NLCHE_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,42,1,42,1
NLEAS_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,42,1,42,1
NLEEM_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,42,1,42,1
NLNOO_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,42,1,42,1
NLNOR_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,42,1,42,1
NLROT_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,42,1,42,1
NLSOU_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,42,1,42,1
NLWES_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,42,1,42,1
NLZEE_truck_2040,0.94,0.94,0.94,0.94,0.5,5,5,42,1,42,1
BEALB_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEANT_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEBRU_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BECHA_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEFLA_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEGHE_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BEHAI_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
BELIE_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,43.55555556,1.037037037,43.55555556,1.037037037
NLCHE_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,42,1,42,1
NLEAS_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,42,1,42,1
NLEEM_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,42,1,42,1
NLNOO_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,42,1,42,1
NLNOR_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,42,1,42,1
NLROT_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,42,1,42,1
NLSOU_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,42,1,42,1
NLWES_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,42,1,42,1
NLZEE_truck_2050,0.97,0.97,0.97,0.97,0.75,5,5,42,1,42,1
